paper_id,paper_citation,category,subcategory,tool,usage
30,"(Patchamatla and Owolabi, 2025)",Machine Learning Deployment,CI/CD Tools,TensorFlow Extended (TFX),"Production-ready ML pipeline framework supporting model validation, training, and serving using TensorFlow ecosystem."
30,"(Patchamatla and Owolabi, 2025)",Build & CI/CD,Automation Pipelines,Jenkins,Widely-used automation server for integrating and deploying ML workflows via plugins and scripted pipelines.
30,"(Patchamatla and Owolabi, 2025)",Containerization & Orchestration,Workflow Management,Argo Workflows,"Kubernetes-native engine for running complex ML workflows as DAGs, supporting scalable deployment and automation."
31,"(Patchamatla, 2024)",AI & Machine Learning,Hyperparameter Tuning,Optuna,Used to optimize hyperparameters during model training with integration into CI/CD pipelines for continuous experimentation.
31,"(Patchamatla, 2024)",Build & CI/CD,Pipeline Automation,GitHub Actions,Automates hyperparameter tuning workflows by orchestrating training jobs with tools like Optuna.
31,"(Patchamatla, 2024)",Containerization & Orchestration,Isolated Execution,Docker,Ensures consistent environment setup for ML training and tuning in CI/CD workflows.
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Code Quality & Security Inspection,Checkov,"Static code analysis for IaC including Terraform, CloudFormation, Kubernetes, Serverless, ARM templates."
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Code Linting,Super-Linter,Combines various linters in GitHub workflows to check multiple languages and formats.
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Multi-language Linting,Mega-Linter,Analyzes quality and consistency for 47+ languages and 22+ formats with auto-fixes and reporting.
32,"(Petrovi et al., 2022)",Security,Dependency Vulnerability Scanning,Snyk,"Finds and fixes vulnerabilities in software dependencies from ecosystems like npm, Maven, PyPI."
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Security Checking for Terraform,tfsec,Performs static analysis of Terraform code to detect potential security issues.
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Security Checking for Terraform,terrascan,Scans Terraform code to ensure compliance with security best practices.
32,"(Petrovi et al., 2022)",Cloud Infrastructure & IaC,Security Checking for Ansible,Steampunk Spotter,Scans Ansible content for quality and security vulnerabilities.
32,"(Petrovi et al., 2022)",DevOps Platforms & Tools,Secrets Detection,git-secrets,Prevents committing passwords and other sensitive information to Git.
32,"(Petrovi et al., 2022)",DevOps Platforms & Tools,Secrets Detection,git-leaks,"Scans repositories for secrets like passwords, API keys, and credentials."
32,"(Petrovi et al., 2022)",DevOps Platforms & Tools,Code Statistics,cloc,Counts lines of code and distinguishes between different file types in IaC archives.
33,"(Poonam and Mittal, 2019)",Collaboration & Project Management,Agile Planning and Workflow,JIRA,"Selected as the best tool for project management automation based on weighted evaluation criteria. Supports customizable workflows, issue tracking, agile boards, and detailed progress tracking."
33,"(Poonam and Mittal, 2019)",Collaboration & Project Management,Lightweight Task Boards,Trello,Evaluated for project planning and task management; supports simple kanban-style boards and prioritization.
33,"(Poonam and Mittal, 2019)",Collaboration & Project Management,Lean Portfolio Management,LeanKit,Used for visualizing work across teams; assessed for workload distribution and managing dependencies.
33,"(Poonam and Mittal, 2019)",Collaboration & Project Management,Enterprise Planning,AgileCraft,Analyzed for its support in strategic planning and agile execution at scale; integrates with lower-level agile tools.
33,"(Poonam and Mittal, 2019)",Build & CI/CD,Automation Server,Jenkins,"Supports CI/CD pipelines for building, testing, and deploying applications; widely used in DevOps automation setups."
33,"(Poonam and Mittal, 2019)",Build & CI/CD,Build and Deployment,Bamboo,Build server for continuous integration; integrates with Atlassian tools for DevOps automation.
33,"(Poonam and Mittal, 2019)",Testing & Quality Assurance,Functional Testing,Selenium,Used for browser-based automated functional testing; suitable for DevOps pipelines.
33,"(Poonam and Mittal, 2019)",Testing & Quality Assurance,Performance Testing,JMeter,Open-source tool for load testing and measuring application performance under stress.
33,"(Poonam and Mittal, 2019)",Collaboration & Project Management,Collaboration Wiki,Confluence,Used for collaborative documentation and linking technical and project management information.
33,"(Poonam and Mittal, 2019)",Source Code & Version Control,Source Control,Bitbucket,Provides Git-based source code management; integrates with Atlassian DevOps tools.
33,"(Poonam and Mittal, 2019)",Source Code & Version Control,Peer Review Tools,Crucible,Supports collaborative code reviews in an enterprise DevOps environment.
33,"(Poonam and Mittal, 2019)",Analytics & Monitoring,Log and Event Analysis,Splunk,"Used for operational intelligence, log aggregation, and security event monitoring."
33,"(Poonam and Mittal, 2019)",Requirement Engineering & Tracking,Knowledge Base,Slite,Assessed as a modern documentation and requirement capture tool in DevOps settings.
33,"(Poonam and Mittal, 2019)",Requirement Engineering & Tracking,Team Knowledge Sharing,Notion,Utilized for requirement documentation and lightweight project collaboration.
33,"(Poonam and Mittal, 2019)",Requirement Engineering & Tracking,Wiki System,MediaWiki,Explored as an open-source wiki for managing requirements and technical documentation.
33,"(Poonam and Mittal, 2019)",Requirement Engineering & Tracking,Documentation Platform,BookStack,Tool for structuring and presenting requirements in a hierarchical documentation format.
33,"(Poonam and Mittal, 2019)",Source Code & Version Control,Git Hosting,GitLab,Self-hosted Git repository management solution with integrated CI/CD and DevOps features.
33,"(Poonam and Mittal, 2019)",Source Code & Version Control,Distributed VCS,GitHub,Popular code repository and collaboration platform widely used in DevOps pipelines.
33,"(Poonam and Mittal, 2019)",Source Code & Version Control,Code Hosting,Launchpad,Open-source platform for hosting and managing software projects and versioned code.
33,"(Poonam and Mittal, 2019)",Build & CI/CD,Continuous Integration,TeamCity,Build management and CI server offering test reporting and artifact archiving.
33,"(Poonam and Mittal, 2019)",Security,DAST,ZAP,Used for dynamic security testing of web applications in the DevSecOps pipeline.
33,"(Poonam and Mittal, 2019)",Testing & Quality Assurance,GUI Test Automation,TestComplete,"Commercial automated testing tool supporting UI and functional testing of desktop, mobile, and web apps."
33,"(Poonam and Mittal, 2019)",Testing & Quality Assurance,Functional Testing,UFT,Enterprise-grade functional testing tool used for automating user interface tests across platforms.
34,"(Prates and Pereira, 2025)",Security,Static Code Security Testing,SonarQube,"Used in DevSecOps pipelines to scan source code for bugs, vulnerabilities, and code smells during development, enabling early detection of security issues."
34,"(Prates and Pereira, 2025)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,"Performs real-time security scanning of running web applications to detect vulnerabilities like injection flaws, XSS, and broken authentication."
34,"(Prates and Pereira, 2025)",Security,Software Composition Analysis (SCA),OWASP Dependency Check,Analyzes third-party libraries and dependencies in projects to identify known vulnerabilities using public CVE databases.
34,"(Prates and Pereira, 2025)",Cloud Infrastructure & IaC,Security Policy Validation,Checkov,"Scans infrastructure-as-code configurations (e.g., Terraform) to ensure compliance with security policies and detect misconfigurations before deployment."
34,"(Prates and Pereira, 2025)",Application Deployment & Orchestration,CI/CD Automation,GitLab CI,Manages the end-to-end CI/CD pipeline and integrates DevSecOps tools for automated security checks at every stage of development and deployment.
35,"(Radhakrishnan et al., 2024)",Data Management & Mining,Statistical Computing,R,"Open-source language and environment for statistical computing and graphics, widely used in engineering data analysis and visualization."
35,"(Radhakrishnan et al., 2024)",Data Management & Mining,Scientific Programming,Python,"Popular programming language for sustainable engineering analysis, offering extensive open-source libraries for data manipulation, visualization, and modeling."
35,"(Radhakrishnan et al., 2024)",Visualization & Reporting,Interactive Graphing,Plotly,"Python-based library used for interactive, publication-quality data visualizations in engineering and research domains."
35,"(Radhakrishnan et al., 2024)",AI & Machine Learning,Workflow Automation,KNIME,"Graphical tool for automating data science workflows; supports drag-and-drop analysis pipelines integrating ML, ETL, and reporting tasks."
35,"(Radhakrishnan et al., 2024)",Analytics & Monitoring,Big Data Infrastructure,Apache Spark,"Open-source unified analytics engine used for large-scale data processing, real-time streaming, and machine learning integration in smart computing systems."
36,"(Raghunathan, 2020)",Security,Static Code Security Testing,SonarQube,"Performs static code analysis in CI/CD to detect bugs, vulnerabilities, and code smells."
36,"(Raghunathan, 2020)",Security,Static Code Security Testing,Brakeman,Performs static security analysis for Ruby on Rails applications.
36,"(Raghunathan, 2020)",Security,Software Composition Analysis (SCA),Dependency-Check,Scans dependencies against the NVD to detect known vulnerabilities.
36,"(Raghunathan, 2020)",Security,Software Composition Analysis (SCA),Snyk,Monitors and remediates vulnerabilities in open-source dependencies.
36,"(Raghunathan, 2020)",Containerization & Orchestration,Vulnerability Scanning,Clair,Scans container images for known vulnerabilities.
36,"(Raghunathan, 2020)",Containerization & Orchestration,Vulnerability Scanning,Trivy,Scans containers and file systems for security flaws and misconfigurations.
36,"(Raghunathan, 2020)",Cloud Infrastructure & IaC,IaC Scanning,TerraScan,Scans Terraform and Kubernetes IaC files for misconfigurations.
36,"(Raghunathan, 2020)",Cloud Infrastructure & IaC,IaC Scanning,Checkov,"Performs static code analysis of Terraform, CloudFormation, and Kubernetes configurations."
36,"(Raghunathan, 2020)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,Performs dynamic security testing of running web applications.
36,"(Raghunathan, 2020)",Security,Credential Storage,HashiCorp Vault,"Manages access to secrets, passwords, and sensitive information."
36,"(Raghunathan, 2020)",Containerization & Orchestration,Configuration Audit,Neuvector,Applies Kubernetes CIS Benchmarks for auditing configuration.
36,"(Raghunathan, 2020)",Containerization & Orchestration,Configuration Audit,kube-bench,Audits Kubernetes clusters against CIS benchmarks.
36,"(Raghunathan, 2020)",Security,Intrusion Detection,Falco,Performs real-time threat detection and runtime security monitoring in containers.
36,"(Raghunathan, 2020)",Security,Artifact Integrity,in-toto,Secures software supply chain by ensuring artifact integrity and traceability.
36,"(Raghunathan, 2020)",Security,Image Signing,Notary,Signs and verifies Docker container images.
36,"(Raghunathan, 2020)",Security,Kubernetes Integration,External Secrets Operator,Syncs Kubernetes secrets with external secret management tools.
36,"(Raghunathan, 2020)",Cloud Infrastructure & IaC,Provisioning,Terraform,Defines and provisions infrastructure through code.
36,"(Raghunathan, 2020)",Configuration & Dependency Management,Automation,Ansible,Automates software provisioning and configuration management.
36,"(Raghunathan, 2020)",Security,Cloud-Based,AWS Secrets Manager,"Stores and retrieves sensitive data like database credentials, API keys, etc."
36,"(Raghunathan, 2020)",Security,Cloud-Based,Azure Key Vault,"Manages secrets, keys, and certificates in Azure."
36,"(Raghunathan, 2020)",Containerization & Orchestration,CNI and Policy Enforcement,Cilium,Implements network security policies and observability in Kubernetes using eBPF.
36,"(Raghunathan, 2020)",Containerization & Orchestration,Policy Management,Calico,Enforces network security policies for Kubernetes clusters.
37,"(Rajapakse et al., 2021)",Security,Static Code Security Testing,SonarQube,Static analysis tool integrated into CI/CD pipelines; widely adopted for scanning source code for bugs and vulnerabilities during development.
37,"(Rajapakse et al., 2021)",Security,Software Composition Analysis (SCA),OWASP Dependency-Check,Tool used to identify vulnerable dependencies in software projects; commonly integrated with build tools like Maven and Gradle.
37,"(Rajapakse et al., 2021)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,Dynamic security scanner for detecting runtime vulnerabilities in web applications; noted for use in pipeline integration during QA or staging.
37,"(Rajapakse et al., 2021)",Security,Container Image Scanning,Clair,"Static vulnerability scanner for Docker and container images, used in CI/CD to detect known issues in base images before deployment."
37,"(Rodriguez et al., 2017)",Application Deployment & Orchestration,Continuous Integration and Deployment,Jenkins,"Used for automating build, test, and deployment pipelines in modern DevOps workflows for web applications."
37,"(Rodriguez et al., 2017)",Source Code & Version Control,Source Code Management,Git,"Handles versioning of application source code; supports branching, merging, and collaboration across teams."
37,"(Rodriguez et al., 2017)",Containerization & Orchestration,Application Packaging,Docker,Encapsulates web applications in containers to ensure consistent deployment across environments.
37,"(Rodriguez et al., 2017)",Analytics & Monitoring,System Monitoring,Nagios,Used for monitoring servers and network components to detect failures and bottlenecks in DevOps environments.
37,"(Rodriguez et al., 2017)",Cloud Infrastructure & IaC,Cloud Hosting and Automation,Amazon Web Services (AWS),Provides scalable cloud infrastructure for hosting web applications integrated with CI/CD and container tools.
37,"(Rodriguez et al., 2017)",Networking & Automation,Configuration Management,Chef,Manages and automates infrastructure configuration and deployment in DevOps-based systems.
38,"(Roy et al., 2021)",Requirement Engineering & Tracking,Requirement Prioritization,CARO,CARO is a conflict-aware requirement ordering tool that generates an optimal prioritization order among functional and non-functional requirements by analyzing their conflicts and dependencies. It helps mitigate risks during incremental software delivery in DevOps.
38,"(Roy et al., 2021)",Requirement Engineering & Tracking,Risk Assessment,CARO,Provides dynamic risk analysis by comparing optimal and alternate requirement orderings. Enables developers to understand and manage risks when selected features neglect dependencies or conflicts.
38,"(Roy et al., 2021)",Requirement Engineering & Tracking,Traceability,CARO,Allows tracking of implemented features and their associated requirements. Supports unfreezing of features to reduce risk when conflicts or dependencies are unresolved.
38,"(Roy et al., 2021)",Requirement Engineering & Tracking,Dashboard Monitoring,CARO,"Includes a dashboard to monitor project progress, changes, and risk estimations in each iteration of development."
39,"(Rubasinghe et al., 2021)",Requirement Engineering & Tracking,Traceability Management,SAT-Analyser,"A traceability management tool that supports requirement-to-code and test traceability across the DevOps lifecycle. Provides dashboards, impact analysis, and version control tracking to ensure trace coverage and minimize defects."
39,"(Rubasinghe et al., 2021)",Requirement Engineering & Tracking,Change Impact Analysis,SAT-Analyser,Allows developers to visualize how changes in requirements affect code and test cases; supports early defect detection and risk analysis in agile and DevOps workflows.
39,"(Rubasinghe et al., 2021)",Visualization & Reporting,Dashboard Monitoring,SAT-Analyser,"Presents traceability data through interactive dashboards, enabling team members to monitor requirement satisfaction and coverage across DevOps stages."
40,"(Saqib et al., 2025)",Cloud Infrastructure & IaC,Instance Management,Amazon EC2 Auto Scaling,"Automatically adjusts the number of EC2 instances in response to demand spikes and spot interruptions, improving availability and cost-efficiency."
40,"(Saqib et al., 2025)",Analytics & Monitoring,Metrics and Logs,AWS CloudWatch,"Monitors EC2 spot instance health, performance, and lifecycle transitions to enable proactive resource and security management."
40,"(Saqib et al., 2025)",Security,Threat Detection,Amazon GuardDuty,Provides intelligent threat detection to secure EC2 spot instances from malicious activities and unauthorized access.
40,"(Saqib et al., 2025)",Cloud Infrastructure & IaC,Provisioning,AWS CloudFormation,"Enables automated provisioning of spot instance groups using declarative templates, improving reproducibility and governance."
40,"(Saqib et al., 2025)",Application Deployment & Orchestration,Container Management,Amazon ECS,"Deploys and manages containers across EC2 spot instances, ensuring high availability despite spot volatility."
41,"(Shah et al., 2021)",Networking & Automation,Infrastructure Configuration,Ansible,"Used for network automation by configuring routers, switches, and firewalls; integrates with network operating systems like Cisco IOS and Junos."
41,"(Shah et al., 2021)",Networking & Automation,Declarative Infrastructure,Terraform,Employed for declarative infrastructure-as-code across cloud and network devices; enables reproducible configuration management.
41,"(Shah et al., 2021)",Analytics & Monitoring,Telemetry Collection,Prometheus,"Collects metrics from network infrastructure and systems, useful for real-time monitoring and alerting in DevOps for networking."
41,"(Shah et al., 2021)",Containerization & Orchestration,Network Function Management,Kubernetes,Manages cloud-native network functions and orchestrates containerized workloads with integrated service discovery and scaling.
41,"(Shah et al., 2021)",Build & CI/CD,CI for Network Code,GitLab CI,Supports version control and CI pipelines for managing and validating network configurations through automated testing.
41,"(Shah et al., 2021)",AI & Machine Learning,Pipeline Construction,ZenML,"MLOps framework enabling modular construction of ML pipelines by connecting components like data preprocessing, model training, and deployment with tools such as scikit-learn and TensorFlow."
41,"(Shah et al., 2021)",AI & Machine Learning,Model Training,scikit-learn,"Machine learning library used for training models, integrated into ZenML pipelines for tasks such as classification and regression."
41,"(Shah et al., 2021)",AI & Machine Learning,Model Training,Keras,"High-level neural network API used for deep learning model construction, often linked into ZenML pipelines."
41,"(Shah et al., 2021)",AI & Machine Learning,Model Training and Deployment,TensorFlow,"Open-source platform for machine learning, enabling scalable training and deployment of ML models, integrated via ZenML."
42,"(Sharma et al., 2025)",AI & Machine Learning,Code Suggestion & Review,Amazon CodeGuru,Uses ML to identify code issues and recommend improvements during the build and test stages.
42,"(Sharma et al., 2025)",AI & Machine Learning,Code Suggestion & Review,GitHub Copilot,AI pair programmer that suggests code snippets during development to accelerate build phase.
42,"(Sharma et al., 2025)",AI & Machine Learning,Automated Testing,Mabl,Intelligent test automation tool using ML to enhance UI and functional testing for CI/CD.
42,"(Sharma et al., 2025)",AI & Machine Learning,Observability,Dynatrace,AI-powered platform that provides full-stack observability and automated root cause analysis.
42,"(Sharma et al., 2025)",DevOps Platforms & Tools,CI/CD Automation,GitLab Auto DevOps,Automates the software lifecycle from code commit to monitoring using built-in AI pipelines.
42,"(Sharma et al., 2025)",Collaboration & Project Management,Planning & Collaboration,Jira,Used for project planning and task tracking during the plan phase of DevOps lifecycle.
42,"(Sharma et al., 2025)",Security,Static & Dynamic Analysis,DeepCode,AI-based code review tool that detects security and performance bugs during code review.
42,"(Sharma et al., 2025)",Application Deployment & Orchestration,Continuous Delivery,Spinnaker,Multi-cloud continuous delivery platform supporting automated canary analysis and rollout.
42,"(Sharma et al., 2025)",Analytics & Monitoring,Monitoring & Logging,Prometheus,Time-series monitoring tool that tracks metrics and triggers alerts for DevOps systems.
42,"(Sharma et al., 2025)",Code Quality & Analysis,Code Quality Metrics,SonarQube,Analyzes code quality and maintains clean code practices across development pipelines.
43,"(Shrestha et al., 2024)",Security,Lightweight Threat Modeling,LightSC,Supports usable and lightweight security classification for DevSecOps teams by categorizing security information types and risks.
44,"(Singh et al., 2022)",Configuration & Dependency Management,Automation Frameworks,Chef,Configuration management tool that automates infrastructure provisioning and enforces operational procedures.
44,"(Singh et al., 2022)",Application Deployment & Orchestration,Cloud Service Configuration,Juju,"Orchestrates and manages services across cloud environments, ensuring scalability and fault tolerance."
44,"(Singh et al., 2022)",Configuration & Dependency Management,Security and Enforcement,Puppet,Automates configuration management while enforcing compliance and security standards in deployments.
44,"(Singh et al., 2022)",Configuration & Dependency Management,Multi-node Deployment,Ansible,Agentless automation tool for managing configurations and application deployment across distributed systems.
44,"(Singh et al., 2022)",Build & CI/CD,Remote Execution,Fabric,Python-based tool to automate application deployment via SSH; integrates with Python web frameworks.
44,"(Singh et al., 2022)",Build & CI/CD,Pipeline Automation,Jenkins,"Extensible automation server used for building, testing, and deploying software projects in CI/CD pipelines."
44,"(Singh et al., 2022)",Build & CI/CD,Scripting and Compilation,ANT,Java-based build tool using XML files to automate software build processes and task sequences.
44,"(Singh et al., 2022)",Build & CI/CD,GitHub Integration,BuildHive,Jenkins-based CI tool tailored for GitHub projects and collaborative open-source environments.
44,"(Singh et al., 2022)",Build & CI/CD,Build Lifecycle Management,Gradle,"Automated build system with support for multi-language development, IDEs, CI tools, and Docker."
44,"(Singh et al., 2022)",Build & CI/CD,Dependency Management,Maven,Java build and project management tool focused on dependency handling and plugin support.
44,"(Singh et al., 2022)",Testing & Quality Assurance,Web Testing,Selenium,Framework for automating web application testing across different browsers and platforms.
44,"(Singh et al., 2022)",Testing & Quality Assurance,Mobile Testing,Appium,Open-source mobile application testing tool supporting Android and iOS with multiple programming languages.
44,"(Singh et al., 2022)",Testing & Quality Assurance,Web Automation,Watir,Ruby-based web automation tool designed for Windows-based browser testing.
44,"(Singh et al., 2022)",Analytics & Monitoring,Application Performance Monitoring,New Relic APM,"Monitors software performance with tracing of application code, SQL queries, and transaction times."
44,"(Singh et al., 2022)",Analytics & Monitoring,Infrastructure Monitoring,New Relic Server,"Tracks server-level metrics such as CPU, memory, disk usage, and system health in real-time."
45,"(Solayman and Qasha, 2023)",Configuration & Dependency Management,Infrastructure as Code,Terraform,Used to provision and manage infrastructure in a repeatable way using declarative configuration files.
45,"(Solayman and Qasha, 2023)",Configuration & Dependency Management,Configuration Automation,Ansible,Tool used for automating configuration and deployment tasks across systems using playbooks.
45,"(Solayman and Qasha, 2023)",Application Deployment & Orchestration,Container Orchestration,Kubernetes,"Orchestrates deployment, scaling, and management of containerized applications across clusters."
45,"(Solayman and Qasha, 2023)",Analytics & Monitoring,Log Aggregation and Visualization,ELK Stack,"Used for aggregating, searching, and visualizing logs to monitor and troubleshoot applications."
46,"(Sravan et al., 2024)",Collaboration & Project Management,Agile Management,Jira,"Agile project management platform developed by Atlassian, supporting issue tracking, sprint planning, and integration with development tools."
46,"(Sravan et al., 2024)",Collaboration & Project Management,Visual Workflow Management,Trello,Card- and board-based Kanban tool used for managing tasks and visualizing progress in Agile teams.
46,"(Sravan et al., 2024)",Collaboration & Project Management,Hybrid Task Management,Asana,"Versatile project management tool for tracking goals, managing sprints, and coordinating workflows in Agile and non-Agile environments."
46,"(Sravan et al., 2024)",Collaboration & Project Management,Agile Boards and Pipelines,Azure DevOps,Microsoft platform combining Agile project boards with CI/CD pipelines and repository integrations for full DevOps lifecycle management.
47,"(Süß et al., 2022)",Build & CI/CD,CI Server,Jenkins,Used to automate build and integration tasks as part of a CI/CD pipeline; widely adopted in DevOps workflows.
47,"(Süß et al., 2022)",Code Quality & Analysis,Static Code Analysis,SonarQube,"Analyzes source code for bugs, vulnerabilities, and code smells; integrates into CI workflows."
47,"(Süß et al., 2022)",Artifact Management,Artifact Repository,Nexus Repository,"Stores and manages build artifacts, enabling artifact versioning and dependency resolution."
47,"(Süß et al., 2022)",Source Code & Version Control,Version Control,Git,Distributed version control system used for tracking changes in source code and facilitating collaboration.
48,"(Tarak and Kilinc, 2024)",Analytics & Monitoring,Service Mapping and Health Monitoring,DIA4M,"Visualizes microservice interactions, tracks service health using traffic-based anomaly detection, and summarizes microservice states through dashboards."
48,"(Tarak and Kilinc, 2024)",Logging and Debugging,Log Analysis and Comparison,DIA4M,Provides comparative views of logs between normal and abnormal service states to assist in root cause analysis and troubleshooting.
48,"(Tarak and Kilinc, 2024)",AI & Machine Learning,DevOps Workflow Automation,DIA4M (GPT-based Assistant),Offers interactive suggestions and troubleshooting guidance using a GPT-based DevOps assistant integrated into the UI.
48,"(Tarak and Kilinc, 2024)",Analytics & Monitoring,Data Collection and Instrumentation,OpenTelemetry,Collects distributed tracing and metrics data from microservices for visualization and anomaly detection in DIA4M.
48,"(Tarak and Kilinc, 2024)",Application Performance Monitoring,Instrumentation and Tracing,Elastic APM,Used in conjunction with OpenTelemetry to instrument and monitor service performance in DIA4M.
49,"(Thome et al., 2023)",Security,Static Code Security Testing,Brakeman,Baseline SAST tool used in GitLab for Ruby on Rails applications; performs line-based vulnerability fingerprinting.
49,"(Thome et al., 2023)",Security,Static Code Security Testing,Brakeman+VT,Enhanced SAST tool with Vulnerability Tracking (VT); deduplicates findings via fingerprinting and improves auditing efficiency.
49,"(Thome et al., 2023)",Testing & Quality Assurance,CI/CD Tool Testing,SourceWarp,Scalable SCM-driven framework for testing and benchmarking DevOps features or tools using record/replay of Git history.
49,"(Thome et al., 2023)",Containerization & Orchestration,Container Management,Docker,"Used to encapsulate SAST tools (brakeman and brakeman+VT) as testable, isolated CI/CD components in experiments."
50,"(Vaish et al., 2024)",DevOps & IoT Integration,Deployment and Monitoring,Kaa IoT Platform,"Used for managing and monitoring connected IoT devices, integrating with CI/CD workflows to ensure continuous delivery and feedback."
50,"(Vaish et al., 2024)",Build & CI/CD,CI/CD Orchestration,Jenkins,"Coordinates software delivery pipeline in the DevOps-IoT framework, handling builds, tests, and deployments."
50,"(Vaish et al., 2024)",Containerization & Orchestration,IoT Edge Deployment,Docker,"Packages and deploys microservices to edge devices, ensuring consistent environments across heterogeneous IoT infrastructure."
50,"(Vaish et al., 2024)",Source Code & Version Control,Code Management,Git,Facilitates source code management and integrates with Jenkins to trigger pipeline execution on commit.
51,"(Woniak et al., 2025)",AI & Machine Learning,Model Training and Experimentation,MLflow,"Used for managing ML experiments, tracking model performance, and versioning models during development."
51,"(Woniak et al., 2025)",AI & Machine Learning,Model Deployment,Kubeflow,"Supports deployment, orchestration, and monitoring of ML models in Kubernetes environments."
51,"(Woniak et al., 2025)",AI & Machine Learning,Model Serving and Versioning,Seldon Core,"Provides model serving, version control, and A/B testing for ML models within Kubernetes clusters."
51,"(Woniak et al., 2025)",AI & Machine Learning,Pipeline Orchestration,Airflow,"Used for authoring, scheduling, and monitoring workflows in ML pipelines."
52,"(Yadati, 2021)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,Integrated into CI/CD pipelines to dynamically test running applications by simulating real-world attacks.
52,"(Yadati, 2021)",Security,Security API Scanning,Apache JMeter,Performs security scans on APIs during CI/CD to identify runtime issues and vulnerabilities.
52,"(Yadati, 2021)",Security,Behavior Driven Security Testing (BDST),SeleniumBase,Automates behavior-driven security testing by scripting scenarios as part of CI/CD security pipelines.
53,"(Yarmolenko and Kononenko, 2024)",Security,Dynamic Application Security Testing (DAST),OWASP ZAP,"Open-source tool for finding security vulnerabilities in web applications; supports automated scanners, passive/active scanning, CI/CD integration, and manual testing via proxies."
53,"(Yarmolenko and Kononenko, 2024)",Security,Dynamic Application Security Testing (DAST),Burp Suite,"Comprehensive web vulnerability scanner and interactive proxy; used for manual testing, automated scanning, CI/CD integration, and security analytics."
53,"(Yarmolenko and Kononenko, 2024)",Security,Dynamic Application Security Testing (DAST),Acunetix,Commercial tool offering automated web vulnerability scanning and attack simulations; useful for integration in DevSecOps pipelines.
53,"(Yarmolenko and Kononenko, 2024)",Security,Dynamic Application Security Testing (DAST),Netsparker,DAST tool for detecting vulnerabilities with minimal false positives; supports integration with CI/CD workflows.
53,"(Yarmolenko and Kononenko, 2024)",Security,Dynamic Application Security Testing (DAST),AppScan,IBM's enterprise DAST solution providing advanced security testing and reporting capabilities integrated into development pipelines.
54,"(Yin and Filkov, 2020)",Collaboration & Project Management,Developer Interaction Tools,GitHub,"Served as the primary coordination platform during DevOps tool adoption in OSS projects; used for pull request reviews, issue tracking, and technical discussions."
54,"(Yin and Filkov, 2020)",Cloud Infrastructure & IaC,Configuration Management,Ansible,"Adopted in OSS projects to automate infrastructure setup and deployment tasks. Its adoption prompted discussions on responsibility, testing, and knowledge sharing."
54,"(Yin and Filkov, 2020)",Cloud Infrastructure & IaC,Provisioning and Automation,Terraform,"Used for defining and provisioning infrastructure via declarative code; its introduction involved team debates about learning curve, standardization, and maintenance overhead."
54,"(Yin and Filkov, 2020)",Containerization & Orchestration,Container Orchestration,Kubernetes,"Deployed to manage containerized workloads; adoption brought challenges in OSS teams such as knowledge disparity, maintenance burden, and requirement for infrastructure skills."
